,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,NHT,Nalhati Jn,Nalhati Jn West Bengal,Eastern Railway,West Bengal,"Nalhati, West Bengal, India",87.8377842,24.2920951
0,ROH,Roha,Roha Maharashtra,Konkan Railway,Maharashtra,"Roha, Maharashtra 402109, India",73.1167514,18.4389511
0,KMAE,KHAMARGACHHI,KHAMARGACHHI West Bengal,Eastern Railway,West Bengal,"Khamargachhi, West Bengal, India",88.4331189,23.0619784
0,PSL,PARISAL,PARISAL Rajasthan,North Western Railway,Rajasthan,"Parisal, Rajasthan 301001, India",76.6224981,27.6767744
0,STNR,SITALNAGAR,SITALNAGAR Rajasthan,North Western Railway,Rajasthan,"Sitalnagar, Biggabas Ramsara, Rajasthan 331802, India",74.25419,28.04415
0,DMV,Dimapur,Dimapur Nagaland,North Frontier Railway,Nagaland,"Dimapur, Nagaland, India",93.7265605,25.9091406
0,SPJ,Samastipur Jn,Samastipur Jn Bihar,East Central Railway,Bihar,"Samastipur Junction, Station Rd, Railway Colony, Samastipur, Bihar 848101, India",85.7854263,25.8598074
0,NASP,NARASINGAPALLI,NARASINGAPALLI Andhra Pradesh,South Central Railway,Andhra Pradesh,"Narasingapalli, Andhra Pradesh 531055, India",82.8761759,17.6070712
0,WC,WADHWAN CITY,WADHWAN CITY Gujarat,Western Railway,Gujarat,"Wadhwan City, Dajipura, Wadhwan, Surendranagar, Gujarat 363035, India",71.6721849,22.7031666
0,JBP,Jabalpur,Jabalpur Madhya Pradesh,West Central Railway,Madhya Pradesh,"Jabalpur, Madhya Pradesh, India",79.9338798,23.1685786
0,SICY,SHAHEED ISHWAR CHOWDHARY HALT,SHAHEED ISHWAR CHOWDHARY HALT Bihar,East Central Railway,Bihar,"Saheed Ishwar Chowdhary H, Manpur, Bihar 823003, India",85.0285873,24.8074703
0,NMK,Nim Ka Thana,Nim Ka Thana Rajasthan,North Western Railway,Rajasthan,"Neem Ka Thana, Rajasthan, India",75.7877389,27.7381089
0,HTZ,HATHIDAH UPPER,HATHIDAH UPPER Bihar,East Central Railway,Bihar,"Hathidah Upper, Railway Station Rd, Hathidah Buzurg, Bihar 803301, India",85.9886761,25.3674839
0,DRLA,Daurala,Daurala Uttar Pradesh,Northern Railway,Uttar Pradesh,"Daurala, Uttar Pradesh 250221, India",77.702282,29.1130045
0,BIRD,Bhiwandi Road,Bhiwandi Road Maharashtra,Central Railway,Maharashtra,"Bhiwandi Rd, Maharashtra, India",73.0015726,19.2282975
0,MJ,Marwar Jn,Marwar Jn Rajasthan,North Western Railway,Rajasthan,"Marwar Junction, Rajasthan 306001, India",73.6062786,25.7232022
0,TBM,Tambaram,Tambaram Tamil Nadu,Southern Railway,Tamil Nadu,"Tambaram, Chennai, Tamil Nadu, India",80.1000026,12.9249308
0,ZBD,Zafarabad Jn,Zafarabad Jn Uttar Pradesh,Northern Railway,Uttar Pradesh,"Zafarabad, Uttar Pradesh 222180, India",82.7337121,25.6984721
0,BOE,Barsoi Jn,Barsoi Jn Bihar,North Frontier Railway,Bihar,"Barsoi, Bihar 855102, India",87.9255134,25.6193247
0,BDHL,Badhal,Badhal Rajasthan,North Western Railway,Rajasthan,"Badhal, Rajasthan, India",75.4401832,27.2562041
